org/apache/ignite/internal/processors/cache/distributed/dht/atomic/GridNearAtomicAbstractUpdateRequest::readFrom,0.21253985122210414%
org/apache/ignite/internal/processors/cache/distributed/dht/atomic/GridNearAtomicSingleUpdateRequest::readFrom,0.21253985122210414%
org/apache/ignite/internal/marshaller/optimized/OptimizedObjectOutputStream::write,0.21253985122210414%
org/apache/ignite/internal/util/nio/GridNioFilterAdapter::proceedSessionWrite,0.1594048884165781%
org/apache/ignite/internal/processors/cache/persistence/tree/BPlusTree::invoke,0.1594048884165781%
org/apache/ignite/internal/processors/cache/IgniteCacheOffheapManagerImpl$CacheDataStoreImpl::invoke0,0.1594048884165781%
org/apache/ignite/internal/processors/cache/distributed/dht/GridDhtCacheAdapter$5::apply,0.1594048884165781%
org/apache/ignite/internal/processors/cache/distributed/dht/GridDhtCacheAdapter::getDhtAllAsync,0.1594048884165781%
org/apache/ignite/internal/processors/cache/distributed/dht/GridDhtGetSingleFuture::getAsync,0.1594048884165781%
org/apache/ignite/internal/marshaller/optimized/OptimizedObjectOutputStream::writeObjectOverride,0.10626992561105207%
org/apache/ignite/internal/direct/stream/v2/DirectByteBufferStreamImplV2::writeMessage,0.10626992561105207%
org/apache/ignite/internal/processors/cache/GridCacheMapEntry$AtomicCacheUpdateClosure::runEntryProcessor,0.10626992561105207%
org/apache/ignite/internal/processors/cache/GridCacheMapEntry$AtomicCacheUpdateClosure::call,0.10626992561105207%
org/apache/ignite/internal/processors/cache/persistence/tree/BPlusTree$Invoke::invokeClosure,0.10626992561105207%
org/apache/ignite/internal/processors/cache/persistence/DataStructure::read,0.10626992561105207%
org/apache/ignite/spi/communication/tcp/TcpCommunicationSpi::sendMessage0,0.10626992561105207%
org/apache/ignite/internal/managers/communication/GridIoManager::send,0.10626992561105207%
org/apache/ignite/marshaller/jdk/JdkMarshallerInputStreamWrapper::read,0.053134962805526036%
org/apache/ignite/internal/util/IgniteUtils::restoreOldIgniteName,0.053134962805526036%
org/apache/ignite/internal/util/future/GridFutureAdapter::notifyListener,0.053134962805526036%
org/apache/ignite/internal/util/future/GridFutureAdapter::listen,0.053134962805526036%
org/apache/ignite/internal/processors/cache/CacheOffheapEvictionManager::touch,0.053134962805526036%
org/apache/ignite/internal/direct/DirectMessageWriter::writeAffinityTopologyVersion,0.053134962805526036%
org/apache/ignite/internal/processors/cache/distributed/near/GridNearSingleGetResponse::writeTo,0.053134962805526036%
org/apache/ignite/internal/processors/cache/persistence/tree/BPlusTree::doFind,0.053134962805526036%
org/apache/ignite/internal/processors/cache/persistence/tree/BPlusTree::findOne,0.053134962805526036%
org/apache/ignite/internal/processors/cache/IgniteCacheOffheapManagerImpl$CacheDataStoreImpl::find,0.053134962805526036%
org/apache/ignite/internal/processors/cache/IgniteCacheOffheapManagerImpl::read,0.053134962805526036%
org/apache/ignite/internal/processors/cache/distributed/dht/GridDhtGetSingleFuture::map0,0.053134962805526036%
org/apache/ignite/internal/processors/cache/distributed/dht/GridDhtGetSingleFuture::map,0.053134962805526036%
org/apache/ignite/internal/processors/cache/distributed/dht/GridDhtCacheAdapter::getDhtSingleAsync,0.053134962805526036%
org/apache/ignite/internal/processors/cache/distributed/dht/GridDhtCacheAdapter::processNearSingleGetRequest,0.053134962805526036%
org/apache/ignite/internal/processors/cache/distributed/dht/atomic/GridDhtAtomicCache$4::apply,0.053134962805526036%
org/apache/ignite/internal/managers/communication/GridIoManager$9::execute,0.053134962805526036%
org/apache/ignite/internal/util/nio/GridNioServer$DirectNioClientWorker::processWrite,0.053134962805526036%
org/apache/ignite/internal/processors/cache/version/GridCacheVersionManager::next,0.053134962805526036%
org/apache/ignite/internal/direct/stream/v2/DirectByteBufferStreamImplV2::writeArray,0.053134962805526036%
org/apache/ignite/internal/processors/cache/GridCacheEventManager::isRecordable,0.053134962805526036%
org/apache/ignite/internal/processors/cache/persistence/tree/BPlusTree::checkDestroyed,0.053134962805526036%
org/apache/ignite/internal/processors/cache/persistence/tree/BPlusTree::findDown,0.053134962805526036%
org/apache/ignite/internal/processors/cache/KeyCacheObjectImpl::readFrom,0.053134962805526036%
org/apache/ignite/internal/util/IgniteUtils::forName,0.053134962805526036%
org/apache/ignite/internal/binary/BinaryContext::descriptorForTypeId,0.053134962805526036%
org/apache/ignite/internal/binary/BinaryReaderExImpl::deserialize0,0.053134962805526036%
org/apache/ignite/internal/metric/IoStatisticsQueryHelper::trackLogicalReadQuery,0.053134962805526036%
org/apache/ignite/internal/processors/cache/distributed/dht/atomic/GridNearAtomicUpdateResponse::directType,0.053134962805526036%
org/apache/ignite/internal/util/nio/GridNioServer$HeadFilter::onSessionWrite,0.053134962805526036%
org/apache/ignite/internal/util/nio/GridConnectionBytesVerifyFilter::onSessionWrite,0.053134962805526036%
org/apache/ignite/internal/util/nio/GridNioCodecFilter::onSessionWrite,0.053134962805526036%
org/apache/ignite/internal/direct/stream/v2/DirectByteBufferStreamImplV2::readArray,0.053134962805526036%
org/apache/ignite/internal/util/nio/GridNioServer$AbstractNioClientWorker::registerWrite,0.053134962805526036%
org/apache/ignite/internal/util/GridUnsafe::copyMemory,0.053134962805526036%
org/apache/ignite/spi/communication/tcp/internal/ConnectionClientPool::reserveClient,0.053134962805526036%
org/apache/ignite/internal/binary/BinaryReaderExImpl::<init>,0.053134962805526036%
