"Hot Spot","Self Time (microseconds)","Average Time (microseconds)","Invocations"
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtGetSingleFuture.map",229006,2,94964
"org.apache.ignite.internal.direct.DirectMessageReader.readLong",225291,0,489938
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.lock0",219938,0,615108
"org.apache.ignite.internal.managers.communication.GridIoManager.invokeListener",217541,2,100003
"org.apache.ignite.internal.direct.DirectMessageWriter.setBuffer",215331,0,501138
"org.apache.ignite.spi.communication.tcp.internal.ConnectionClientPool.reserveClient",212500,2,100003
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.lock",208597,0,615108
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeMessage",207993,0,316241
"org.apache.ignite.internal.processors.cache.persistence.CacheDataRowAdapter.doInitFromLink",207131,2,100000
"sun.misc.Unsafe.getInt",202758,0,1184549
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.onReadLock",201914,1,200000
"org.apache.ignite.internal.processors.cache.persistence.tree.io.AbstractDataPageIO.readPayload",198752,0,200000
"org.apache.ignite.internal.processors.cache.GridCacheIoManager.onMessageProcessed",198336,1,100002
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtGetSingleFuture.getAsync",195126,2,94964
"org.apache.ignite.internal.direct.DirectMessageReader.readMessage",194026,0,400008
"org.apache.ignite.internal.processors.cache.GridCacheMessage.readFrom",191116,1,100002
"java.util.concurrent.atomic.LongAdder.add",189886,0,1144232
"org.apache.ignite.internal.managers.communication.GridIoManager.send",189435,1,100003
"org.apache.ignite.internal.util.nio.GridSelectorNioSessionImpl.offerFuture",189382,1,100004
"org.apache.ignite.internal.util.nio.GridNioServer$AbstractNioClientWorker.processSelectedKeysOptimized",189008,1,176523
"org.apache.ignite.internal.direct.DirectMessageReader.readInt",187860,0,400008
"org.apache.ignite.internal.util.GridUnsafe.compareAndSwapLong",187163,0,610072
"org.apache.ignite.internal.util.nio.GridDirectParser.decode",184723,1,103129
"org.apache.ignite.internal.util.OffheapReadWriteLock.writersWaitCount",183881,0,1215108
