"Hot Spot","Self Time (microseconds)","Average Time (microseconds)","Invocations"
"org.apache.ignite.internal.processors.rest.GridRestProcessor$4.body",51005801,51005801,1
"org.apache.ignite.internal.util.StripedExecutor$StripeConcurrentQueue.take",18865766,188,100060
"java.util.Queue.poll",16288954,0,199918042
"org.apache.ignite.internal.util.nio.GridNioServer$AbstractNioClientWorker.bodyInternal",8397254,131207,64
"org.apache.ignite.internal.util.StripedExecutor$Stripe.body",7874820,131247,60
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readLong",1592999,1,889957
"org.apache.ignite.internal.direct.state.DirectMessageState.item",1281645,0,12181010
"org.apache.ignite.internal.util.GridUnsafe.getByte(byte[ ], long)",1112020,0,5071123
"java.nio.ByteBuffer.position()",893779,0,8348471
"java.nio.ByteBuffer.position(int)",849560,0,8190214
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readInt",844531,0,1005077
"org.apache.ignite.internal.processors.cache.GridCacheAdapter.getAllAsync0",743249,7,94964
"java.nio.ByteBuffer.hasRemaining",635684,0,5771178
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeInt",622353,0,1002293
"org.apache.ignite.internal.processors.cache.tree.CacheDataTree.compareKeys",607413,6,100000
"org.apache.ignite.internal.util.GridUnsafe.putByte",585138,0,2802563
"org.apache.ignite.internal.util.OffheapReadWriteLock.updateState",577782,0,605036
"org.apache.ignite.internal.direct.DirectMessageReader.incrementState",554183,0,2405115
"sun.misc.Unsafe.getByte",550118,0,5071123
"org.apache.ignite.internal.processors.cache.tree.CacheDataTree.compare",538195,0,584549
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.lastFinished",478158,0,4728714
"java.nio.ByteBuffer.remaining",455939,0,3544359
"org.apache.ignite.internal.util.GridUnsafe.getShort",440980,0,1425180
"org.apache.ignite.internal.pagemem.PageUtils.getShort",433837,0,1425180
"org.apache.ignite.internal.direct.DirectMessageWriter.incrementState",428988,0,2022465
"java.lang.ThreadLocal.get",425823,0,2682029
"org.apache.ignite.internal.processors.cache.distributed.near.GridNearSingleGetRequest.readFrom",414523,4,94964
"org.apache.ignite.internal.processors.affinity.AffinityTopologyVersion.compareTo(org.apache.ignite.internal.processors.affinity.AffinityTopologyVersion)",411283,0,1802611
"org.apache.ignite.internal.util.OffheapReadWriteLock.readLock",382715,1,300000
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.log.LockLog.log",373247,0,410072
"org.apache.ignite.internal.util.GridUnsafe.getInt",359862,0,1184549
"org.apache.ignite.internal.managers.communication.GridIoMessage.readFrom",359367,3,100003
"org.apache.ignite.internal.pagemem.PageUtils.getInt",352460,0,1184549
"org.apache.ignite.internal.processors.cache.CacheGroupContext.sharedGroup",344554,0,1027325
"org.apache.ignite.internal.processors.cache.tree.AbstractDataLeafIO.getHash",343946,0,684549
"org.apache.ignite.internal.util.OffheapReadWriteLock.readUnlock",340882,1,300000
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtCacheAdapter.processNearSingleGetRequest",338673,3,94964
"org.apache.ignite.internal.processors.affinity.AffinityTopologyVersion.compareTo(java.lang.Object)",334072,0,1577041
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readMessage",320709,0,400008
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtCacheAdapter$5.apply",317457,3,94964
"org.apache.ignite.internal.util.nio.GridNioServer$DirectNioClientWorker.processWrite0",315946,2,124988
"org.apache.ignite.internal.managers.communication.GridIoMessage.writeTo",305071,3,100003
"java.lang.Object.getClass",303422,0,1779012
"org.apache.ignite.internal.pagemem.impl.PageMemoryNoStoreImpl.acquirePage",300920,0,305036
"org.apache.ignite.spi.communication.tcp.TcpCommunicationSpi.sendMessage0",297263,2,100003
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeLong",297027,0,400022
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtGetSingleFuture.toEntryInfo",296956,3,94964
"org.apache.ignite.internal.processors.metric.impl.LongAdderMetric.add0",292479,0,1144232
"org.apache.ignite.internal.processors.tracing.MTC.span",280818,0,906284
"sun.misc.Unsafe.putByte",279983,0,2802563
"org.apache.ignite.internal.processors.cache.persistence.tree.io.BPlusLeafIO.offset",279962,0,884549
"java.util.concurrent.ConcurrentNavigableMap.putIfAbsent",279686,2,100195
"org.apache.ignite.internal.util.GridUnsafe.getLong",279126,0,905036
"java.util.concurrent.locks.LockSupport.unpark",270911,2,96841
"org.apache.ignite.internal.pagemem.PageUtils.getLong",270264,0,905036
"org.apache.ignite.internal.direct.DirectMessageReader.setBuffer",270026,0,610084
"org.apache.ignite.internal.direct.DirectMessageReader.isLastRead",269226,0,2405115
"org.apache.ignite.internal.processors.metric.impl.LongAdderMetric.increment",253562,0,905059
"org.apache.ignite.spi.discovery.tcp.ServerImpl$MessageWorker.body",252981,126490,2
"org.apache.ignite.internal.util.OffheapReadWriteLock.lockCount",252115,0,1520144
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readShort",250039,0,400008
"org.apache.ignite.internal.pagemem.PageUtils.getByte",248727,0,794851
"org.apache.ignite.internal.util.GridUnsafe.getByte(long)",247782,0,794851
"org.apache.ignite.internal.processors.cache.GridCacheIoManager$1.onMessage",247340,2,100002
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeShort",245974,0,416244
"org.apache.ignite.internal.util.nio.GridNioFilterAdapter.proceedSessionWrite",243161,0,300012
"org.apache.ignite.internal.processors.cache.persistence.CacheDataRowAdapter.readFullRow",242988,2,100000
"org.apache.ignite.internal.processors.cache.GridCacheIoManager.send",240056,2,100002
"sun.misc.Unsafe.getShort",239567,0,1425180
"org.apache.ignite.internal.util.GridUnsafe.getLongVolatile",238629,0,610072
"java.lang.Long.compare",236341,0,2104794
"org.apache.ignite.internal.util.worker.GridWorker.updateHeartbeat",234663,0,812185
"java.nio.channels.Selector.wakeup",231634,4,52341
"org.apache.ignite.internal.util.IgniteUtils.currentTimeMillis",230768,0,1528482
"org.apache.ignite.spi.communication.tcp.internal.InboundConnectionHandler.onMessage",230613,2,103129
"org.apache.ignite.internal.processors.cache.GridCacheIoManager.handleMessage",230018,2,100002
