"Hot Spot","Self Time (microseconds)","Average Time (microseconds)","Invocations"
"org.apache.ignite.internal.processors.rest.GridRestProcessor$4.body",43007723,43007723,1
"org.apache.ignite.internal.util.StripedExecutor$StripeConcurrentQueue.take",19246716,192,100060
"java.util.Queue.poll",16554095,0,197173923
"org.apache.ignite.internal.util.StripedExecutor$Stripe.body",6167766,102796,60
"org.apache.ignite.internal.util.nio.GridNioServer$AbstractNioClientWorker.bodyInternal",3563788,55684,64
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readLong",1573628,1,890149
"org.apache.ignite.internal.direct.state.DirectMessageState.item",1305974,0,12179666
"org.apache.ignite.internal.util.GridUnsafe.getByte(byte[ ], long)",1103404,0,4971701
"java.nio.ByteBuffer.position()",894667,0,8207305
"java.nio.ByteBuffer.position(int)",850886,0,8090504
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readInt",842402,0,1004981
"org.apache.ignite.internal.processors.cache.GridCacheAdapter.getAllAsync0",768697,8,95060
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeInt",645738,0,1002293
"org.apache.ignite.internal.processors.cache.tree.CacheDataTree.compareKeys",621008,6,100000
"java.nio.ByteBuffer.hasRemaining",606734,0,5567787
"org.apache.ignite.internal.util.GridUnsafe.putByte",606531,0,2803319
"org.apache.ignite.internal.util.OffheapReadWriteLock.updateState",596155,0,604940
"org.apache.ignite.internal.direct.DirectMessageReader.incrementState",554965,0,2405019
"org.apache.ignite.internal.processors.cache.tree.CacheDataTree.compare(org.apache.ignite.internal.processors.cache.persistence.tree.io.BPlusIO, long, int, org.apache.ignite.internal.processors.cache.persistence.CacheSearchRow)",554610,0,584922
"sun.misc.Unsafe.getByte",542345,0,4971701
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.lastFinished",487411,0,4728234
"org.apache.ignite.internal.util.GridUnsafe.getShort",456210,0,1424700
"org.apache.ignite.internal.pagemem.PageUtils.getShort",446817,0,1424700
"org.apache.ignite.internal.direct.DirectMessageWriter.incrementState",446362,0,2022081
"java.nio.ByteBuffer.remaining",439425,0,3543755
"java.lang.ThreadLocal.get",433368,0,2680643
"org.apache.ignite.internal.processors.cache.distributed.near.GridNearSingleGetRequest.readFrom",403802,4,95060
"org.apache.ignite.internal.util.OffheapReadWriteLock.readLock",389503,1,300000
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.log.LockLog.log",385874,0,409880
"org.apache.ignite.internal.util.GridUnsafe.getInt",371408,0,1184922
"org.apache.ignite.internal.pagemem.PageUtils.getInt",365543,0,1184922
"org.apache.ignite.internal.managers.communication.GridIoMessage.readFrom",357143,3,100003
"org.apache.ignite.internal.processors.cache.tree.AbstractDataLeafIO.getHash",353575,0,684922
"org.apache.ignite.internal.util.OffheapReadWriteLock.readUnlock",352775,1,300000
"org.apache.ignite.internal.processors.cache.CacheGroupContext.sharedGroup",345084,0,1001426
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtCacheAdapter.processNearSingleGetRequest",340412,3,95060
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtCacheAdapter$5.apply",323138,3,95060
"java.lang.Object.getClass",315902,0,1775791
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeLong",310155,0,400022
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readMessage",310125,0,400008
"org.apache.ignite.internal.pagemem.impl.PageMemoryNoStoreImpl.acquirePage",306049,1,304940
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtGetSingleFuture.toEntryInfo",305875,3,95060
"org.apache.ignite.internal.managers.communication.GridIoMessage.writeTo",303429,3,100003
"org.apache.ignite.spi.communication.tcp.TcpCommunicationSpi.sendMessage0",299738,2,100003
"sun.misc.Unsafe.putByte",291793,0,2803319
"org.apache.ignite.internal.util.GridUnsafe.getLong",286246,0,904940
"org.apache.ignite.internal.processors.cache.persistence.tree.io.BPlusLeafIO.offset",285696,0,884922
"org.apache.ignite.internal.processors.metric.impl.LongAdderMetric.add0",281561,0,1074484
"org.apache.ignite.internal.pagemem.PageUtils.getLong",280563,0,904940
"org.apache.ignite.internal.processors.tracing.MTC.span",277695,0,906284
"org.apache.ignite.internal.direct.DirectMessageReader.isLastRead",273346,0,2405019
"org.apache.ignite.internal.util.OffheapReadWriteLock.lockCount",258405,0,1519760
"java.util.concurrent.locks.LockSupport.unpark",258223,2,95505
"org.apache.ignite.internal.pagemem.PageUtils.getByte",255428,0,794532
"org.apache.ignite.internal.direct.DirectMessageReader.setBuffer",255223,0,609892
"org.apache.ignite.internal.processors.metric.impl.LongAdderMetric.increment",254848,0,904963
"org.apache.ignite.internal.util.GridUnsafe.getByte(long)",254773,0,794532
"org.apache.ignite.internal.processors.affinity.AffinityTopologyVersion.compareTo",253480,0,960155
"org.apache.ignite.internal.util.nio.GridNioFilterAdapter.proceedSessionWrite",252405,0,300012
"org.apache.ignite.internal.processors.cache.persistence.CacheDataRowAdapter.readFullRow",249275,2,100000
"org.apache.ignite.internal.processors.cache.GridCacheIoManager$1.onMessage",247466,2,100002
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeShort",247400,0,415956
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readShort",246746,0,400008
"org.apache.ignite.internal.util.GridUnsafe.getLongVolatile",243352,0,609880
"org.apache.ignite.internal.processors.cache.GridCacheIoManager.send",243014,2,100002
"sun.misc.Unsafe.getShort",241895,0,1424700
"org.apache.ignite.internal.processors.cache.GridCacheIoManager.handleMessage",236070,2,100002
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtGetSingleFuture.map",230883,2,95060
"org.apache.ignite.internal.direct.DirectMessageReader.readLong",225764,0,490130
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.lock0",224440,0,614820
"org.apache.ignite.spi.communication.tcp.internal.InboundConnectionHandler.onMessage",215915,2,103129
"org.apache.ignite.internal.managers.communication.GridIoManager.invokeListener",215780,2,100003
"org.apache.ignite.internal.processors.cache.persistence.CacheDataRowAdapter.doInitFromLink",214220,2,100000
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.lock",213311,0,614820
"org.apache.ignite.spi.communication.tcp.internal.ConnectionClientPool.reserveClient",213148,2,100003
"org.apache.ignite.internal.direct.DirectMessageWriter.setBuffer",211429,0,501138
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.onReadLock",208198,1,200000
"sun.misc.Unsafe.getInt",207004,0,1184922
"org.apache.ignite.internal.processors.cache.persistence.tree.io.AbstractDataPageIO.readPayload",203984,1,200000
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeMessage",203807,0,315953
"org.apache.ignite.internal.processors.cache.GridCacheIoManager.onMessageProcessed",199529,1,100002
