"Hot Spot","Self Time (microseconds)","Average Time (microseconds)","Invocations"
"org.apache.ignite.spi.discovery.tcp.ServerImpl$MessageWorker.body",198645,99322,2
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtGetSingleFuture.getAsync",196683,2,95060
"org.apache.ignite.internal.managers.communication.GridIoManager.send",194028,1,100003
"org.apache.ignite.internal.direct.DirectMessageReader.readMessage",192829,0,400008
"org.apache.ignite.internal.util.GridUnsafe.compareAndSwapLong",192562,0,609880
"org.apache.ignite.internal.util.OffheapReadWriteLock.writersWaitCount",188861,0,1214820
"org.apache.ignite.internal.util.nio.GridSelectorNioSessionImpl.offerFuture",187229,1,100004
"org.apache.ignite.internal.processors.cache.GridCacheMessage.readFrom",187115,1,100002
"org.apache.ignite.internal.processors.cache.tree.CacheDataTree.compare(org.apache.ignite.internal.processors.cache.persistence.tree.io.BPlusIO, long, int, java.lang.Object)",186582,0,584922
"org.apache.ignite.internal.direct.DirectMessageReader.readInt",186549,0,400008
"org.apache.ignite.internal.processors.cache.GridCacheIoManager.onSend",181677,1,100002
"org.apache.ignite.internal.binary.BinaryObjectImpl.writeTo",180449,1,95060
"org.apache.ignite.internal.processors.cache.GridCacheEventManager.isRecordable",177752,1,129640
"java.util.concurrent.atomic.LongAdder.add",177592,0,1074484
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.onBeforeReadLock",176760,0,200000
"org.apache.ignite.internal.direct.DirectMessageWriter.writeInt",176492,0,401131
"org.apache.ignite.internal.processors.cache.distributed.near.GridNearSingleGetResponse.writeTo",174266,1,95060
"org.apache.ignite.internal.processors.cache.persistence.tree.BPlusTree.compare",174154,0,584922
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readBoolean",173821,0,300017
