"Hot Spot","Self Time (microseconds)","Average Time (microseconds)","Invocations"
"org.apache.ignite.internal.processors.rest.GridRestProcessor$4.body",109013187,109013187,1
"org.apache.ignite.internal.util.StripedExecutor$StripeConcurrentQueue.take",19199083,191,100060
"java.util.Queue.poll",16496768,0,204993927
"org.apache.ignite.internal.util.nio.GridNioServer$AbstractNioClientWorker.bodyInternal",14896951,232764,64
"org.apache.ignite.internal.util.StripedExecutor$Stripe.body",9117279,151954,60
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readLong",1573687,1,889945
"org.apache.ignite.internal.direct.state.DirectMessageState.item",1306437,0,12181094
"org.apache.ignite.internal.util.GridUnsafe.getByte(byte[ ], long)",1109572,0,4967847
"java.nio.ByteBuffer.position()",914534,0,8293287
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readInt",859221,0,1005083
"java.nio.ByteBuffer.position(int)",857174,0,8086956
"org.apache.ignite.internal.processors.cache.GridCacheAdapter.getAllAsync0",741980,7,94958
"java.nio.ByteBuffer.hasRemaining",664481,0,5765895
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeInt",640655,0,1002293
"org.apache.ignite.internal.util.GridUnsafe.putByte",607667,0,2799142
"org.apache.ignite.internal.processors.cache.tree.CacheDataTree.compareKeys",597505,5,100000
"org.apache.ignite.internal.direct.DirectMessageReader.incrementState",570306,0,2405121
"org.apache.ignite.internal.util.OffheapReadWriteLock.updateState",561613,0,605042
"sun.misc.Unsafe.getByte",543256,0,4967847
"java.nio.channels.Selector.wakeup",530823,5,100005
"org.apache.ignite.internal.processors.cache.tree.CacheDataTree.compare",522090,0,585345
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.lastFinished",490236,0,4728744
"org.apache.ignite.internal.util.nio.GridNioServer$DirectNioClientWorker.processWrite0",475993,2,206219
"java.nio.ByteBuffer.remaining",466670,0,3544565
"org.apache.ignite.internal.direct.DirectMessageWriter.incrementState",452324,0,2022489
"java.lang.ThreadLocal.get",440378,0,2682421
"org.apache.ignite.internal.processors.cache.distributed.near.GridNearSingleGetRequest.readFrom",437529,4,94958
"org.apache.ignite.internal.util.GridUnsafe.getShort",429641,0,1425210
"org.apache.ignite.internal.pagemem.PageUtils.getShort",426714,0,1425210
"org.apache.ignite.internal.util.worker.GridWorker.updateHeartbeat",403463,0,1436168
"org.apache.ignite.spi.discovery.tcp.ServerImpl$MessageWorker.body",387355,193677,2
"org.apache.ignite.internal.util.OffheapReadWriteLock.readLock",375936,1,300000
"org.apache.ignite.internal.util.IgniteUtils.currentTimeMillis",374810,0,2504158
"org.apache.ignite.internal.processors.cache.CacheGroupContext.sharedGroup",373498,0,1171523
"org.apache.ignite.internal.managers.communication.GridIoMessage.readFrom",369164,3,100003
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.log.LockLog.log",364576,0,410084
"org.apache.ignite.internal.util.GridUnsafe.getInt",348633,0,1185345
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readMessage",340159,0,400008
"org.apache.ignite.internal.pagemem.PageUtils.getInt",339700,0,1185345
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtCacheAdapter.processNearSingleGetRequest",335493,3,94958
"org.apache.ignite.internal.processors.cache.tree.AbstractDataLeafIO.getHash",334364,0,685345
"org.apache.ignite.internal.util.OffheapReadWriteLock.readUnlock",332093,1,300000
"org.apache.ignite.internal.managers.communication.GridIoMessage.writeTo",326250,3,100003
"org.apache.ignite.internal.util.nio.GridNioServer$AbstractNioClientWorker.processSelectedKeysOptimized",316702,1,305569
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtCacheAdapter$5.apply",313141,3,94958
"org.apache.ignite.internal.processors.metric.impl.LongAdderMetric.add0",310714,0,1209847
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeLong",306002,0,400022
"org.apache.ignite.spi.communication.tcp.TcpCommunicationSpi.sendMessage0",300789,3,100003
