"Hot Spot","Self Time (microseconds)","Average Time (microseconds)","Invocations"
"org.apache.ignite.internal.processors.rest.GridRestProcessor$4.body",37003532,37003532,1
"org.apache.ignite.internal.util.StripedExecutor$StripeConcurrentQueue.take",19230320,192,100060
"java.util.Queue.poll",16496304,0,190131129
"org.apache.ignite.internal.util.StripedExecutor$Stripe.body",6852746,114212,60
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readLong",1618823,1,890029
"org.apache.ignite.internal.direct.state.DirectMessageState.item",1266918,0,12201818
"org.apache.ignite.internal.util.GridUnsafe.getByte(byte[ ], long)",1130545,0,5072491
"org.apache.ignite.internal.util.nio.GridNioServer$AbstractNioClientWorker.bodyInternal",890817,13919,64
"java.nio.ByteBuffer.position()",879200,0,8299098
"java.nio.ByteBuffer.position(int)",840055,0,8192658
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readInt",836788,0,1005041
"org.apache.ignite.internal.processors.cache.GridCacheAdapter.getAllAsync0",795250,8,95000
"org.apache.ignite.internal.processors.cache.tree.CacheDataTree.compareKeys",641550,6,100000
"org.apache.ignite.internal.util.OffheapReadWriteLock.updateState",615881,1,605000
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeInt",611118,0,1002293
"java.nio.ByteBuffer.hasRemaining",594673,0,5583176
"org.apache.ignite.internal.util.GridUnsafe.putByte",578514,0,2804054
"org.apache.ignite.internal.processors.cache.tree.CacheDataTree.compare(org.apache.ignite.internal.processors.cache.persistence.tree.io.BPlusIO, long, int, org.apache.ignite.internal.processors.cache.persistence.CacheSearchRow)",572533,0,585229
"sun.misc.Unsafe.getByte",566177,0,5072491
"org.apache.ignite.internal.direct.DirectMessageReader.incrementState",560240,0,2405079
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.lastFinished",480899,0,4732086
"org.apache.ignite.internal.util.GridUnsafe.getShort",468701,0,1425000
"org.apache.ignite.internal.pagemem.PageUtils.getShort",462879,0,1425000
"java.lang.ThreadLocal.get",448643,0,2681455
"java.nio.ByteBuffer.remaining",423002,0,3545281
"org.apache.ignite.internal.direct.DirectMessageWriter.incrementState",412163,0,2022321
"org.apache.ignite.internal.util.OffheapReadWriteLock.readLock",409725,1,300000
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.log.LockLog.log",396321,0,410000
"org.apache.ignite.internal.processors.cache.distributed.near.GridNearSingleGetRequest.readFrom",394534,4,95000
"org.apache.ignite.internal.util.GridUnsafe.getInt",385717,0,1185229
"org.apache.ignite.internal.pagemem.PageUtils.getInt",377034,0,1185229
"org.apache.ignite.internal.processors.cache.tree.AbstractDataLeafIO.getHash",367829,0,685229
"org.apache.ignite.internal.util.OffheapReadWriteLock.readUnlock",366552,1,300000
"org.apache.ignite.internal.processors.cache.CacheGroupContext.sharedGroup",356544,0,986793
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtCacheAdapter.processNearSingleGetRequest",354982,3,95000
"org.apache.ignite.internal.managers.communication.GridIoMessage.readFrom",341990,3,100003
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtCacheAdapter$5.apply",329978,3,95000
"org.apache.ignite.internal.pagemem.impl.PageMemoryNoStoreImpl.acquirePage",318416,1,305000
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtGetSingleFuture.toEntryInfo",313281,3,95000
"org.apache.ignite.spi.communication.tcp.TcpCommunicationSpi.sendMessage0",308742,3,100003
"java.lang.Object.getClass",306153,0,1777684
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readMessage",304580,0,400008
"org.apache.ignite.internal.processors.cache.persistence.tree.io.BPlusLeafIO.offset",297929,0,885229
"org.apache.ignite.internal.util.GridUnsafe.getLong",296841,0,905000
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeLong",293179,0,400022
"org.apache.ignite.internal.pagemem.PageUtils.getLong",289026,0,905000
"org.apache.ignite.internal.processors.tracing.MTC.span",285611,0,906284
"org.apache.ignite.internal.direct.DirectMessageReader.isLastRead",276148,0,2405079
"sun.misc.Unsafe.putByte",275810,0,2804054
"org.apache.ignite.internal.managers.communication.GridIoMessage.writeTo",274331,2,101187
"org.apache.ignite.internal.processors.metric.impl.LongAdderMetric.add0",270284,0,1015866
"org.apache.ignite.internal.util.OffheapReadWriteLock.lockCount",268567,0,1520000
"org.apache.ignite.internal.pagemem.PageUtils.getByte",264934,0,794951
"org.apache.ignite.internal.util.GridUnsafe.getByte(long)",264045,0,794951
"org.apache.ignite.internal.processors.cache.GridCacheIoManager$1.onMessage",262510,2,100002
"org.apache.ignite.internal.util.nio.GridNioFilterAdapter.proceedSessionWrite",261851,0,300012
"org.apache.ignite.internal.processors.cache.persistence.CacheDataRowAdapter.readFullRow",259590,2,100000
"org.apache.ignite.internal.direct.DirectMessageReader.setBuffer",253173,0,610012
"org.apache.ignite.internal.util.GridUnsafe.getLongVolatile",253069,0,610000
"org.apache.ignite.internal.processors.metric.impl.LongAdderMetric.increment",251597,0,905023
"org.apache.ignite.internal.processors.cache.GridCacheIoManager.send",251136,2,100002
"sun.misc.Unsafe.getShort",249901,0,1425000
"org.apache.ignite.internal.processors.cache.GridCacheIoManager.handleMessage",242630,2,100002
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readShort",241851,0,400008
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtGetSingleFuture.map",239761,2,95000
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.lock0",232854,0,615000
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeShort",230392,0,416136
"org.apache.ignite.internal.direct.DirectMessageReader.readLong",228022,0,490010
"org.apache.ignite.internal.managers.communication.GridIoManager.invokeListener",226636,2,100003
"org.apache.ignite.spi.communication.tcp.internal.ConnectionClientPool.reserveClient",222675,2,100003
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.lock",220938,0,615000
"org.apache.ignite.internal.processors.cache.persistence.CacheDataRowAdapter.doInitFromLink",219285,2,100000
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.onReadLock",216283,1,200000
"sun.misc.Unsafe.getInt",213340,0,1185229
"org.apache.ignite.internal.processors.cache.persistence.tree.io.AbstractDataPageIO.readPayload",211019,1,200000
"java.util.concurrent.locks.LockSupport.unpark",209238,2,91025
"org.apache.ignite.internal.processors.cache.GridCacheIoManager.onMessageProcessed",205976,2,100002
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtGetSingleFuture.getAsync",205445,2,95000
"org.apache.ignite.internal.managers.communication.GridIoManager.send",199849,1,100003
"org.apache.ignite.internal.util.GridUnsafe.compareAndSwapLong",198671,0,610000
"org.apache.ignite.internal.util.nio.GridSelectorNioSessionImpl.offerFuture",196385,1,100004
"org.apache.ignite.internal.direct.DirectMessageWriter.setBuffer",194448,0,507058
"org.apache.ignite.internal.util.OffheapReadWriteLock.writersWaitCount",193642,0,1215000
"org.apache.ignite.internal.processors.cache.tree.CacheDataTree.compare(org.apache.ignite.internal.processors.cache.persistence.tree.io.BPlusIO, long, int, java.lang.Object)",193115,0,585229
"org.apache.ignite.spi.communication.tcp.internal.InboundConnectionHandler.onMessage",193038,1,103129
"org.apache.ignite.internal.direct.DirectMessageReader.readMessage",192097,0,400008
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeMessage",188035,0,318501
"org.apache.ignite.internal.processors.cache.GridCacheIoManager.onSend",186788,1,100002
"org.apache.ignite.internal.processors.cache.GridCacheEventManager.isRecordable",183876,1,130000
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.onBeforeReadLock",183861,0,200000
"org.apache.ignite.internal.direct.DirectMessageReader.readInt",183828,0,400008
"org.apache.ignite.internal.processors.cache.GridCacheMessage.readFrom",182049,1,100002
"org.apache.ignite.internal.processors.cache.persistence.tree.BPlusTree.compare",180539,0,585229
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.onReadUnlock",178344,0,200000
"org.apache.ignite.internal.processors.affinity.AffinityTopologyVersion.compareTo",176993,0,540463
"org.apache.ignite.internal.binary.builder.BinaryObjectBuilderImpl.serializeTo",174860,34,5000
"org.apache.ignite.internal.processors.cache.GridCacheIoManager.unmarshall",173384,1,100002
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readBoolean",171539,0,300017
"org.apache.ignite.internal.pagemem.impl.PageMemoryNoStoreImpl.readLock",170146,0,300000
"org.apache.ignite.internal.processors.cache.persistence.tree.io.PageIO.getType",168798,0,410000
