"Hot Spot","Self Time (microseconds)","Average Time (microseconds)","Invocations"
"org.apache.ignite.internal.processors.rest.GridRestProcessor$4.body",41004092,41004092,1
"org.apache.ignite.internal.util.StripedExecutor$StripeConcurrentQueue.take",19420008,194,100060
"java.util.Queue.poll",16839181,0,193707311
"org.apache.ignite.internal.util.StripedExecutor$Stripe.body",6450616,107510,60
"org.apache.ignite.internal.util.nio.GridNioServer$AbstractNioClientWorker.bodyInternal",1881076,29391,64
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readLong",1615643,1,889815
"org.apache.ignite.internal.direct.state.DirectMessageState.item",1260812,0,12182004
"org.apache.ignite.internal.util.GridUnsafe.getByte(byte[ ], long)",1104646,0,5072221
"java.nio.ByteBuffer.position()",899617,0,8304177
"java.nio.ByteBuffer.position(int)",852618,0,8191525
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readInt",823386,0,1005148
"org.apache.ignite.internal.processors.cache.GridCacheAdapter.getAllAsync0",782517,8,94893
"org.apache.ignite.internal.processors.cache.tree.CacheDataTree.compareKeys",639937,6,100000
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeInt",626859,0,1002293
"org.apache.ignite.internal.util.OffheapReadWriteLock.updateState",614236,1,605107
"java.nio.ByteBuffer.hasRemaining",606294,0,5611283
"org.apache.ignite.internal.util.GridUnsafe.putByte",593170,0,2803609
"org.apache.ignite.internal.processors.cache.tree.CacheDataTree.compare(org.apache.ignite.internal.processors.cache.persistence.tree.io.BPlusIO, long, int, org.apache.ignite.internal.processors.cache.persistence.CacheSearchRow)",569134,0,584813
"org.apache.ignite.internal.direct.DirectMessageReader.incrementState",546332,0,2405186
"sun.misc.Unsafe.getByte",532529,0,5072221
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.lastFinished",473083,0,4729069
"org.apache.ignite.internal.util.GridUnsafe.getShort",466902,0,1425535
"org.apache.ignite.internal.pagemem.PageUtils.getShort",459358,0,1425535
"java.nio.ByteBuffer.remaining",444476,0,3544745
"java.lang.ThreadLocal.get",443708,0,2682968
"org.apache.ignite.internal.direct.DirectMessageWriter.incrementState",422389,0,2022749
"org.apache.ignite.internal.util.OffheapReadWriteLock.readLock",404328,1,300000
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.log.LockLog.log",394437,0,410214
"org.apache.ignite.internal.processors.cache.distributed.near.GridNearSingleGetRequest.readFrom",393782,4,94893
"org.apache.ignite.internal.util.GridUnsafe.getInt",383861,0,1184813
"org.apache.ignite.internal.pagemem.PageUtils.getInt",374645,0,1184813
"org.apache.ignite.internal.processors.cache.tree.AbstractDataLeafIO.getHash",362723,0,684813
"org.apache.ignite.internal.util.OffheapReadWriteLock.readUnlock",361318,1,300000
"org.apache.ignite.internal.processors.cache.CacheGroupContext.sharedGroup",355135,0,992246
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtCacheAdapter.processNearSingleGetRequest",353949,3,94893
"org.apache.ignite.internal.managers.communication.GridIoMessage.readFrom",348441,3,100003
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtCacheAdapter$5.apply",330587,3,94893
"org.apache.ignite.internal.pagemem.impl.PageMemoryNoStoreImpl.acquirePage",318297,1,305107
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtGetSingleFuture.toEntryInfo",310366,3,94893
"java.lang.Object.getClass",310350,0,1773213
"org.apache.ignite.spi.communication.tcp.TcpCommunicationSpi.sendMessage0",308850,3,100003
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readMessage",305659,0,400008
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeLong",300327,0,400022
"org.apache.ignite.internal.processors.cache.persistence.tree.io.BPlusLeafIO.offset",294961,0,884813
"org.apache.ignite.internal.util.GridUnsafe.getLong",293481,0,905107
"sun.misc.Unsafe.putByte",288054,0,2803609
"org.apache.ignite.internal.processors.tracing.MTC.span",288029,0,906284
"org.apache.ignite.internal.pagemem.PageUtils.getLong",287316,0,905107
"org.apache.ignite.internal.managers.communication.GridIoMessage.writeTo",274151,2,100003
"org.apache.ignite.internal.processors.metric.impl.LongAdderMetric.add0",274139,0,1034454
"org.apache.ignite.internal.util.OffheapReadWriteLock.lockCount",267401,0,1520428
"org.apache.ignite.internal.util.nio.GridNioFilterAdapter.proceedSessionWrite",266613,0,300012
"org.apache.ignite.internal.util.GridUnsafe.compareAndSwapLong",265538,0,610214
"org.apache.ignite.internal.direct.DirectMessageReader.isLastRead",265101,0,2405186
"org.apache.ignite.internal.pagemem.PageUtils.getByte",262607,0,794782
"org.apache.ignite.internal.util.GridUnsafe.getByte(long)",262265,0,794782
"org.apache.ignite.internal.processors.affinity.AffinityTopologyVersion.compareTo(org.apache.ignite.internal.processors.affinity.AffinityTopologyVersion)",261088,0,962044
"org.apache.ignite.internal.processors.cache.persistence.CacheDataRowAdapter.readFullRow",257772,2,100000
"org.apache.ignite.internal.processors.cache.GridCacheIoManager$1.onMessage",256748,2,100002
"org.apache.ignite.internal.direct.DirectMessageReader.setBuffer",256529,0,610226
"org.apache.ignite.internal.processors.metric.impl.LongAdderMetric.increment",255115,0,905130
"org.apache.ignite.internal.util.GridUnsafe.getLongVolatile",253398,0,610214
"sun.misc.Unsafe.getShort",251635,0,1425535
"org.apache.ignite.internal.processors.cache.GridCacheIoManager.send",248887,2,100002
"org.apache.ignite.internal.processors.cache.GridCacheIoManager.handleMessage",244424,2,100002
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readShort",242257,0,400008
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtGetSingleFuture.map",236503,2,94893
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeShort",234773,0,416457
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.lock0",231707,0,615321
"org.apache.ignite.spi.communication.tcp.internal.ConnectionClientPool.reserveClient",226538,2,100003
"java.util.concurrent.locks.LockSupport.unpark",225294,2,93454
"org.apache.ignite.internal.direct.DirectMessageReader.readLong",222809,0,489796
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.lock",219282,0,615321
"org.apache.ignite.internal.processors.cache.persistence.CacheDataRowAdapter.doInitFromLink",218113,2,100000
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.onReadLock",215626,1,200000
"org.apache.ignite.internal.managers.communication.GridIoManager.invokeListener",215263,2,100003
"sun.misc.Unsafe.getInt",212121,0,1184813
"org.apache.ignite.internal.processors.cache.persistence.tree.io.AbstractDataPageIO.readPayload",208569,1,200000
"org.apache.ignite.internal.processors.cache.GridCacheIoManager.onMessageProcessed",207403,2,100002
"org.apache.ignite.spi.communication.tcp.internal.InboundConnectionHandler.onMessage",205573,1,103129
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtGetSingleFuture.getAsync",203744,2,94893
"org.apache.ignite.internal.managers.communication.GridIoManager.send",199664,1,100003
"org.apache.ignite.internal.util.nio.GridSelectorNioSessionImpl.offerFuture",198728,1,100004
"org.apache.ignite.internal.direct.DirectMessageWriter.setBuffer",196955,0,501138
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeMessage",196691,0,316454
"org.apache.ignite.internal.util.OffheapReadWriteLock.writersWaitCount",193917,0,1215321
"org.apache.ignite.internal.processors.cache.persistence.tree.BPlusTree$Search.run0",192026,1,100000
"org.apache.ignite.internal.processors.cache.tree.CacheDataTree.compare(org.apache.ignite.internal.processors.cache.persistence.tree.io.BPlusIO, long, int, java.lang.Object)",191966,0,584813
"org.apache.ignite.internal.direct.DirectMessageReader.readMessage",189172,0,400008
"org.apache.ignite.internal.processors.cache.GridCacheIoManager.onSend",188182,1,100002
"org.apache.ignite.internal.processors.cache.GridCacheMessage.readFrom",186524,1,100002
"org.apache.ignite.internal.processors.cache.GridCacheEventManager.isRecordable",185022,1,130642
"org.apache.ignite.spi.discovery.tcp.ServerImpl$MessageWorker.body",182682,91341,2
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.onBeforeReadLock",182461,0,200000
"org.apache.ignite.internal.direct.DirectMessageReader.readInt",181079,0,400008
"org.apache.ignite.internal.processors.cache.persistence.tree.BPlusTree.compare",178904,0,584813
"org.apache.ignite.internal.processors.affinity.AffinityTopologyVersion.compareTo(java.lang.Object)",177666,0,736263
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.onReadUnlock",176839,0,200000
"org.apache.ignite.internal.binary.builder.BinaryObjectBuilderImpl.serializeTo",176508,34,5107
"java.util.concurrent.atomic.LongAdder.add",175887,0,1034454
