"Hot Spot","Self Time (microseconds)","Average Time (microseconds)","Invocations"
"org.apache.ignite.internal.processors.rest.GridRestProcessor$4.body",45004536,45004536,1
"org.apache.ignite.internal.util.StripedExecutor$StripeConcurrentQueue.take",19166525,191,100060
"java.util.Queue.poll",16380751,0,198748245
"org.apache.ignite.internal.util.StripedExecutor$Stripe.body",6444111,107401,60
"org.apache.ignite.internal.util.nio.GridNioServer$AbstractNioClientWorker.bodyInternal",4845128,75705,64
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readLong",1624393,1,890125
"org.apache.ignite.internal.direct.state.DirectMessageState.item",1300044,0,12179834
"org.apache.ignite.internal.util.GridUnsafe.getByte(byte[ ], long)",1134406,0,5071484
"java.nio.ByteBuffer.position()",917024,0,8320832
"java.nio.ByteBuffer.position(int)",862389,0,8190323
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readInt",855925,0,1004993
"org.apache.ignite.internal.processors.cache.GridCacheAdapter.getAllAsync0",760494,8,95048
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeInt",636363,0,1002293
"java.nio.ByteBuffer.hasRemaining",633558,0,5723046
"org.apache.ignite.internal.processors.cache.tree.CacheDataTree.compareKeys",612990,6,100000
"org.apache.ignite.internal.util.GridUnsafe.putByte",601595,0,2803116
"org.apache.ignite.internal.util.OffheapReadWriteLock.updateState",585002,0,604952
"org.apache.ignite.internal.direct.DirectMessageReader.incrementState",565624,0,2405031
"sun.misc.Unsafe.getByte",563063,0,5071484
"org.apache.ignite.internal.processors.cache.tree.CacheDataTree.compare(org.apache.ignite.internal.processors.cache.persistence.tree.io.BPlusIO, long, int, org.apache.ignite.internal.processors.cache.persistence.CacheSearchRow)",541558,0,585013
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.lastFinished",486652,0,4728294
"java.nio.ByteBuffer.remaining",454857,0,3543833
"org.apache.ignite.internal.util.GridUnsafe.getShort",445877,0,1424760
"org.apache.ignite.internal.direct.DirectMessageWriter.incrementState",442516,0,2022129
"org.apache.ignite.internal.pagemem.PageUtils.getShort",438597,0,1424760
"java.lang.ThreadLocal.get",432169,0,2680819
"org.apache.ignite.internal.processors.cache.distributed.near.GridNearSingleGetRequest.readFrom",416648,4,95048
"org.apache.ignite.internal.util.OffheapReadWriteLock.readLock",385904,1,300000
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.log.LockLog.log",376066,0,409904
"org.apache.ignite.internal.util.GridUnsafe.getInt",363636,0,1185013
"org.apache.ignite.internal.pagemem.PageUtils.getInt",357018,0,1185013
"org.apache.ignite.internal.managers.communication.GridIoMessage.readFrom",354878,3,100003
