"Hot Spot","Self Time (microseconds)","Average Time (microseconds)","Invocations"
"org.apache.ignite.internal.processors.rest.GridRestProcessor$4.body",63008096,63008096,1
"org.apache.ignite.internal.util.StripedExecutor$StripeConcurrentQueue.take",18796752,187,100060
"java.util.Queue.poll",16869961,0,201981744
"org.apache.ignite.internal.util.nio.GridNioServer$AbstractNioClientWorker.bodyInternal",12042676,188166,64
"org.apache.ignite.internal.util.StripedExecutor$Stripe.body",9530809,158846,60
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readLong",1546786,1,889975
"org.apache.ignite.internal.direct.state.DirectMessageState.item",1300324,0,12180884
"org.apache.ignite.internal.util.GridUnsafe.getByte(byte[ ], long)",1087837,0,4970135
"java.nio.ByteBuffer.position()",882092,0,8270835
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readInt",848056,0,1005068
"java.nio.ByteBuffer.position(int)",834785,0,8089199
"org.apache.ignite.internal.processors.cache.GridCacheAdapter.getAllAsync0",680416,7,94973
"java.nio.ByteBuffer.hasRemaining",644174,0,5716083
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeInt",630892,0,1002293
"org.apache.ignite.internal.util.GridUnsafe.putByte",586257,0,2801689
"org.apache.ignite.internal.processors.cache.tree.CacheDataTree.compareKeys",585166,5,100000
"org.apache.ignite.internal.util.OffheapReadWriteLock.updateState",570921,0,605027
"org.apache.ignite.internal.direct.DirectMessageReader.incrementState",556596,0,2405106
"sun.misc.Unsafe.getByte",539398,0,4970135
"org.apache.ignite.internal.processors.cache.tree.CacheDataTree.compare(org.apache.ignite.internal.processors.cache.persistence.tree.io.BPlusIO, long, int, org.apache.ignite.internal.processors.cache.persistence.CacheSearchRow)",523623,0,584934
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.lastFinished",483857,0,4728669
"java.nio.ByteBuffer.remaining",445679,0,3544341
"org.apache.ignite.internal.direct.DirectMessageWriter.incrementState",438534,0,2022429
"org.apache.ignite.internal.util.GridUnsafe.getShort",437928,0,1425135
"org.apache.ignite.internal.pagemem.PageUtils.getShort",431493,0,1425135
"java.lang.ThreadLocal.get",423982,0,2681972
"org.apache.ignite.internal.processors.cache.distributed.near.GridNearSingleGetRequest.readFrom",422866,4,94973
"org.apache.ignite.internal.util.OffheapReadWriteLock.readLock",372912,1,300000
"org.apache.ignite.internal.util.nio.GridNioServer$DirectNioClientWorker.processWrite0",370556,2,162507
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.log.LockLog.log",366086,0,410054
"org.apache.ignite.internal.managers.communication.GridIoMessage.readFrom",360006,3,100003
"org.apache.ignite.internal.util.GridUnsafe.getInt",357786,0,1184934
"org.apache.ignite.internal.pagemem.PageUtils.getInt",350945,0,1184934
"org.apache.ignite.internal.processors.cache.CacheGroupContext.sharedGroup",344883,0,1058367
"org.apache.ignite.internal.util.OffheapReadWriteLock.readUnlock",337869,1,300000
"java.nio.channels.Selector.wakeup",337742,4,73433
"org.apache.ignite.internal.processors.cache.tree.AbstractDataLeafIO.getHash",335540,0,684934
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtCacheAdapter.processNearSingleGetRequest",326780,3,94973
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readMessage",313880,0,400008
"org.apache.ignite.internal.managers.communication.GridIoMessage.writeTo",307892,3,100003
"org.apache.ignite.spi.discovery.tcp.ServerImpl$MessageWorker.body",306533,153266,2
"java.lang.Object.getClass",303700,0,1780487
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtCacheAdapter$5.apply",301970,3,94973
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeLong",300227,0,400022
"org.apache.ignite.internal.util.worker.GridWorker.updateHeartbeat",299154,0,1074799
"org.apache.ignite.internal.processors.metric.impl.LongAdderMetric.add0",290867,0,1174233
"org.apache.ignite.internal.util.IgniteUtils.currentTimeMillis",289931,0,1936424
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtGetSingleFuture.toEntryInfo",288829,3,94973
"sun.misc.Unsafe.putByte",284885,0,2801689
"org.apache.ignite.internal.direct.DirectMessageReader.setBuffer",284798,0,610066
"java.util.concurrent.locks.LockSupport.unpark",283102,2,98211
"org.apache.ignite.internal.pagemem.impl.PageMemoryNoStoreImpl.acquirePage",277719,0,305027
"org.apache.ignite.internal.processors.tracing.MTC.span",274938,0,906284
"org.apache.ignite.internal.direct.DirectMessageReader.isLastRead",274278,0,2405106
"org.apache.ignite.internal.util.GridUnsafe.getLong",274076,0,905027
"org.apache.ignite.internal.processors.cache.persistence.tree.io.BPlusLeafIO.offset",273986,0,884934
"org.apache.ignite.internal.pagemem.PageUtils.getLong",269246,0,905027
"org.apache.ignite.spi.communication.tcp.TcpCommunicationSpi.sendMessage0",267261,2,100003
"org.apache.ignite.internal.processors.metric.impl.LongAdderMetric.increment",253388,0,905050
"org.apache.ignite.internal.util.OffheapReadWriteLock.lockCount",252053,0,1520108
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readShort",251386,0,400008
"org.apache.ignite.internal.pagemem.PageUtils.getByte",249506,0,794832
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeShort",247916,0,416217
"org.apache.ignite.internal.util.GridUnsafe.getByte(long)",245540,0,794832
"org.apache.ignite.internal.util.nio.GridNioServer$AbstractNioClientWorker.processSelectedKeysOptimized",245028,1,238753
"sun.misc.Unsafe.getShort",239393,0,1425135
"org.apache.ignite.internal.processors.cache.persistence.CacheDataRowAdapter.readFullRow",236519,2,100000
"org.apache.ignite.internal.util.GridUnsafe.getLongVolatile",234110,0,610054
"org.apache.ignite.internal.processors.cache.GridCacheIoManager.send",229485,2,100002
"org.apache.ignite.spi.communication.tcp.internal.InboundConnectionHandler.onMessage",229075,2,103129
"org.apache.ignite.internal.direct.DirectMessageReader.readLong",227555,0,489956
"org.apache.ignite.internal.processors.cache.GridCacheIoManager$1.onMessage",226904,2,100002
"org.apache.ignite.internal.util.nio.GridNioFilterAdapter.proceedSessionWrite",223900,0,300012
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.lock0",218774,0,615081
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtGetSingleFuture.map",217331,2,94973
"org.apache.ignite.internal.direct.DirectMessageWriter.setBuffer",215113,0,501138
"org.apache.ignite.internal.processors.cache.GridCacheIoManager.handleMessage",210298,2,100002
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeMessage",209314,0,316214
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.lock",207669,0,615081
"org.apache.ignite.internal.processors.cache.persistence.CacheDataRowAdapter.doInitFromLink",205495,2,100000
"org.apache.ignite.spi.communication.tcp.internal.ConnectionClientPool.reserveClient",204139,2,100003
"sun.misc.Unsafe.getInt",202830,0,1184934
"org.apache.ignite.internal.managers.communication.GridIoManager.invokeListener",201870,2,100003
"org.apache.ignite.internal.processors.affinity.AffinityTopologyVersion.compareTo",201723,0,751395
"org.apache.ignite.internal.direct.DirectMessageReader.readMessage",194660,0,400008
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.onReadLock",193269,0,200000
"org.apache.ignite.internal.processors.cache.GridCacheMessage.readFrom",192040,1,100002
"java.util.concurrent.atomic.LongAdder.add",191291,0,1174233
"org.apache.ignite.internal.util.nio.GridSelectorNioSessionImpl.offerFuture",189608,1,100004
"org.apache.ignite.internal.processors.cache.persistence.tree.io.AbstractDataPageIO.readPayload",189275,0,200000
"org.apache.ignite.internal.direct.DirectMessageReader.readInt",188063,0,400008
"org.apache.ignite.internal.util.GridUnsafe.compareAndSwapLong",185238,0,610054
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtGetSingleFuture.getAsync",184524,1,94973
"org.apache.ignite.internal.util.OffheapReadWriteLock.writersWaitCount",184025,0,1215081
"org.apache.ignite.internal.util.nio.GridDirectParser.decode",183502,1,103129
"org.apache.ignite.internal.processors.cache.distributed.dht.topology.GridDhtLocalPartition.state",182658,0,456224
