,Hot Spot,#1,#2,#3,#5,#10,#20,#30
0,org.apache.ignite.internal.processors.rest.GridRestProcessor$4.body,0.4136716631715956,0.41010215021863705,0.3584889921516348,0.3527440395403944,0.3438747024166293,0.32891240249564346,0.32476100244713896
1,org.apache.ignite.internal.util.StripedExecutor$StripeConcurrentQueue.take,0.07285464093421566,0.12234282420351929,0.1526732378776022,0.15785919077200952,0.16286300089094916,0.1676602212066828,0.16877464563596972
2,java.util.Queue.poll,0.06260018299910777,0.10980187816188809,0.1304828232575686,0.1357746454336921,0.14121928014683896,0.14321077045686154,0.14477959087021067
3,org.apache.ignite.internal.util.nio.GridNioServer$AbstractNioClientWorker.bodyInternal,0.056529367372369035,0.0783824244107674,0.05133133375051936,0.05058725600934279,0.05409712907199476,0.059395995993494016,0.06014303338599196
4,org.apache.ignite.internal.util.StripedExecutor$Stripe.body,0.03459728195570928,0.06203338161850087,0.03859444420370573,0.029229749623935753,0.01577536333990918,0.013889990440703541,0.014207578353992934
5,org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readLong,0.005971660278141568,0.010067599321333004,0.01293929592848531,0.012906702767172113,0.013549349070734459,0.011284352564079708,0.011119088839906538
6,org.apache.ignite.internal.direct.state.DirectMessageState.item,0.0049575283641502,0.008463446798660589,0.010355655334670708,0.010711437671199822,0.010573611806921982,0.009717772789512656,0.009922213033923375
7,"org.apache.ignite.internal.util.GridUnsafe.getByte(byte[ ], long)",0.00421048597220292,0.0070804280895488654,0.00903624611596412,0.009049983515868285,0.009263948937723579,0.008563079153488001,0.007818243456245015
8,java.nio.ByteBuffer.position(),0.003470376485800493,0.005741291180908847,0.007304663901853376,0.007337948387164929,0.007544503806204045,0.007859589987778515,0.007716287011508107
9,org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readInt,0.003260480588481112,0.005519760335335581,0.006869462301592359,0.006978862025045316,0.007150353701895451,0.007501899621536607,0.007372731443872205
10,java.nio.ByteBuffer.position(int),0.0032527128503035993,0.005433383092075421,0.006817972539643293,0.006909277303448669,0.006905203893406998,0.007381936734302968,0.0073440586621768035
11,org.apache.ignite.internal.processors.cache.GridCacheAdapter.getAllAsync0,0.00281558689445581,0.004428638260123971,0.0060578055420317046,0.006304757984108634,0.006562462119901436,0.006901063929997687,0.006979500962126731
